Price,Address,Square Footage,Year Built,Bed Rooms,Style,Basement,Distance to City Core(KM),Quadrant
559900,"8623 48 Avenue NW, Calgary, Alberta T3B 2B3",871.4,1960,2,1,Unfinished,14.7,NW
1279900,"17 Hampstead Mews NW, Calgary, Alberta T3A 2Z5",2757,2022,4,2,Unfinished,17.1,NW
1489000,"12 Rockcliff Hill NW, Calgary, Alberta T3G 0G6",3302.03,2023,4,2,Unfinished,22.7,NW
3600000,"7232 Bow Crescent NW, Calgary, Alberta T3B 2B9",894.49,1930,2,1,Unfinished,12.4,NW
780000,"158 Rochester Way NW, Calgary, Alberta T3L 0G9",1529,2022,4,1,Unfinished,20.6,NW
724900,"29 Collingwood Place NW, Calgary, Alberta T2L 0R1",1187.6,1959,3,1,Unfinished,7.5,NW
840000,"10250 Hamptons Boulevard NW, Calgary, Alberta T3A 5G5",2222,1993,4,2,Unfinished,19.3,NW
850000,"10603 Eamon Road NW, Calgary, Alberta T2G5H2",1844.94,1962,3,2,Unfinished,23.8,NW
649900,"2 Royal Birch Circle NW, Calgary, Alberta T3G 5H8",1233.07,2001,3,1,Unfinished,22.7,NW
890000,"4619 72 Street NW, Calgary, Alberta T3B 2L3",1956,2023,4,2,Unfinished,12.3,NW
699900,"81 Rocky Ridge Heath NW, Calgary, Alberta T3G 4Z7",1873,2000,3,2,Unfinished,22,NW
